,City,CompanyName,Date,From,JobLink,JobTitle_x,JobType,Job_ID,Position,Province,Salary,KeyWord,Skill_ID,Skill,JobTitle_y,Category
0,Toronto,Maple Leaf Sports & Entertainment,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=7796d7431bb700e7,Data Scientist,Not Informed,7796d7431bb700e7,['Data Scientist'], ON,Not Informed, Python,1,Python,Data Scientist,Hard
1,Toronto,Maple Leaf Sports & Entertainment,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=7796d7431bb700e7,Data Scientist,Not Informed,7796d7431bb700e7,['Data Scientist'], ON,Not Informed, ML,9,Machine Learning,Data Scientist,Hard
2,Toronto,Maple Leaf Sports & Entertainment,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=7796d7431bb700e7,Data Scientist,Not Informed,7796d7431bb700e7,['Data Scientist'], ON,Not Informed, R,11,R,Data Scientist,Hard
3,Toronto,Maple Leaf Sports & Entertainment,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=7796d7431bb700e7,Data Scientist,Not Informed,7796d7431bb700e7,['Data Scientist'], ON,Not Informed, Master,13,Master,Data Scientist,Education
5,Toronto,Maple Leaf Sports & Entertainment,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=7796d7431bb700e7,Data Scientist,Not Informed,7796d7431bb700e7,['Data Scientist'], ON,Not Informed, Excel,15,Excel,Data Scientist,Hard
6,Toronto,Maple Leaf Sports & Entertainment,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=7796d7431bb700e7,Data Scientist,Not Informed,7796d7431bb700e7,['Data Scientist'], ON,Not Informed, HIVE,22,Hadoop,Data Scientist,Hard
7,Toronto,Maple Leaf Sports & Entertainment,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=7796d7431bb700e7,Data Scientist,Not Informed,7796d7431bb700e7,['Data Scientist'], ON,Not Informed, Java,31,Java,Data Scientist,Hard
8,Toronto,Maple Leaf Sports & Entertainment,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=7796d7431bb700e7,Data Scientist,Not Informed,7796d7431bb700e7,['Data Scientist'], ON,Not Informed, C/C++,32,C++,Data Scientist,Hard
9,Toronto,Maple Leaf Sports & Entertainment,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=7796d7431bb700e7,Data Scientist,Not Informed,7796d7431bb700e7,['Data Scientist'], ON,Not Informed, Scala,41,Scala,Data Scientist,Hard
10,Waterloo,"Kik Interactive, Inc.",11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=20dcae45961dd054,Data Scientist,Not Informed,20dcae45961dd054,['Data Scientist'], ON,Not Informed, Python,1,Python,Data Scientist,Hard
11,Waterloo,"Kik Interactive, Inc.",11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=20dcae45961dd054,Data Scientist,Not Informed,20dcae45961dd054,['Data Scientist'], ON,Not Informed, SQL,2,SQL,Data Scientist,Hard
12,Waterloo,"Kik Interactive, Inc.",11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=20dcae45961dd054,Data Scientist,Not Informed,20dcae45961dd054,['Data Scientist'], ON,Not Informed, Big Data,3,BigData,Data Scientist,Hard
13,Waterloo,"Kik Interactive, Inc.",11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=20dcae45961dd054,Data Scientist,Not Informed,20dcae45961dd054,['Data Scientist'], ON,Not Informed, Statistics,8,Statistics,Data Scientist,Major
14,Waterloo,"Kik Interactive, Inc.",11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=20dcae45961dd054,Data Scientist,Not Informed,20dcae45961dd054,['Data Scientist'], ON,Not Informed, Machine Learning,9,Machine Learning,Data Scientist,Hard
